,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Veo Veo,"Los Campeones del Pueblo ""The Big Leagues""",Wisin & Yandel,2018-12-14,245960,45,0.703,0.0292,0.703,0.907,1.38e-06,0.291,-4.056,0.067,92.973,4
1,Moviendo Caderas (feat. Daddy Yankee),De Líder a Leyenda,Yandel,2013-11-05,199026,65,0.687,0.00105,0.687,0.907,0.000149,0.26,-5.917,0.0341,127.971,4
2,El Tiburón (The Shark),Dale Mambo,Henry Mendez,2014-06-03,223577,47,0.733,0.0126,0.733,0.919,0.0,0.213,-5.425,0.0459,127.951,4
3,Ma Vie (feat. Yay),Rockport Espacial,Kidd Keo,2020-06-12,233300,74,0.936,0.00612,0.936,0.825,0.0017,0.0703,-4.928,0.189,123.991,4
4,Noche De Sexo,Pa'l Mundo,Wisin & Yandel,2005-01-01,205706,70,0.686,0.108,0.686,0.722,0.0,0.494,-5.4,0.256,94.006,4
5,La conocí bailando (feat. K-Narias) - Radio Edit,La conocí bailando (feat. K-Narias),Dr. Bellido,2014-06-17,181115,56,0.711,0.265,0.711,0.841,0.0,0.268,-3.803,0.0322,104.033,4
6,Candy,Love And Sex,Plan B,2014-08-25,207626,67,0.897,0.252,0.897,0.864,0.0,0.517,-3.735,0.147,95.981,4
7,Fanática Sensual - Remix,Fanática Sensual,Plan B,2015-06-02,263800,49,0.788,0.162,0.788,0.815,0.0,0.244,-4.54,0.0539,82.014,4
8,Bailando por Ahi,The King Of Dance,Juan Magán,2012-05-14,180453,60,0.73,0.0427,0.73,0.732,2.22e-06,0.262,-5.167,0.051,129.974,4
9,Quien Dijo Amigos,Quien Dijo Amigos,Carlitos Rossy,2016-05-24,223692,52,0.758,0.343,0.758,0.838,2.25e-05,0.088,-5.209,0.0798,87.995,4
10,En La Cama (feat. Daddy Yankee),Exitos,Nicky Jam,2016-02-24,157023,63,0.855,0.183,0.855,0.912,0.0,0.122,-4.832,0.145,104.072,4
11,Te Pintaron Pajaritos,Te Pintaron Pajaritos,Yandar & Yostin,2016-12-30,172374,63,0.889,0.0855,0.889,0.77,0.0,0.0967,-5.674,0.167,96.025,4
12,DÁKITI,DÁKITI,Bad Bunny,2020-10-30,205090,90,0.731,0.401,0.731,0.573,5.22e-05,0.113,-10.059,0.0544,109.928,4
13,Verano Azul,Verano Azul,Juan Magán,2009-01-01,190560,65,0.887,0.0145,0.887,0.87,0.0,0.015,-5.267,0.119,126.048,4
14,I Know You Want Me (Calle Ocho),Pitbull Starring In Rebelution,Pitbull,2009-08-27,237120,67,0.817,0.0152,0.817,0.733,4.31e-05,0.107,-6.009,0.145,127.056,4
15,Quitate el Top - Radio Edit,Quitate El Top,Tapo & Raya,2014-05-12,192173,40,0.775,0.0329,0.775,0.954,0.0,0.469,-2.62,0.242,130.024,4
16,Kikiki (feat. Yay),Rockport Espacial,Kidd Keo,2020-06-12,199354,64,0.865,0.0686,0.865,0.742,0.262,0.0569,-8.182,0.164,123.993,4
17,Tacata,Latin Hits Summer 2013,Various Artists,2013-04-29,209333,54,0.816,0.00868,0.816,0.853,0.0,0.351,-5.915,0.12,126.946,4
18,Blin Blin,Blin Blin,Bad Gyal,2020-11-13,144613,66,0.771,0.103,0.771,0.735,6.19e-05,0.0503,-3.388,0.114,96.253,4
19,Entre la Playa Ella y Yo,Big Yamo o Nada,Big Yamo,2013-04-27,185077,64,0.638,0.485,0.638,0.863,0.0,0.231,-3.619,0.073,84.951,4
20,Rompe,Modo Positivo,Various Artists,2021-01-29,189040,16,0.687,0.0358,0.687,0.806,5.83e-06,0.0569,-6.019,0.0549,176.064,4
21,Rayos de Sol,Rayos de Sol,José de Rico,2011-08-08,231562,60,0.747,0.0742,0.747,0.872,0.00039,0.149,-4.233,0.0355,128.013,4
22,La Rosa Negra (feat. Carnal),Imperio Nazza,Musicologo Y Menes,2013-05-24,212080,50,0.742,0.182,0.742,0.77,0.0,0.23,-6.696,0.0838,178.041,4
